"file_name","ind_name","desc_name","order"
"Carib_SST.RData","mean","SST_MEAN",1
"Carib_SST.RData","min","SST_MIN",2
"Carib_SST.RData","max","SST_MAX",3
"DegreeHeatingWeeks.RData","X1","DHW_PR",4
"DegreeHeatingWeeks.RData","X2","DHW_VI",5
"OA.RData","dat.V3","OA",6
"ACEindex.RData","storm_index","HURR",7
"earthquakes.RData","as.numeric.tot_num.","QUAKE",8
"pollution.RData","PR_ind","POLL_PR",9
"pollution.RData","USVI_ind","POLL_VI",10
"turbidity.RData","X1","TURB_PR",11
"turbidity.RData","X2","TURB_STT",12
"turbidity.RData","X3","TURB_STX",13
"enterococcus.RData","X1","WATQUL_PR",14
"enterococcus.RData","X2","WATQUL_VI",15
"carib_Chl.RData","ind","P_PROD",16
"Sargassum.RData","d.area.km2.","SARG",17
"disturbance.RData","final_PR.ind","DSTRB_PR",18
"disturbance.RData","V2","DSTRB_STT",19
"disturbance.RData","V3","DSTRB_STX",20
"population.RData","pop_PR","POP_PR",21
"population.RData","pop_USVI","POP_VI",22
"cruise_air_visitors.RData","X1","CRU_PR",23
"cruise_air_visitors.RData","X2","CRU_VI",24
"cruise_air_visitors.RData","X3","AIR_PR",25
"cruise_air_visitors.RData","X4","AIR_VI",26
"hotel_occupancy.RData","X1","HOTEL_PR",27
"hotel_occupancy.RData","X2","HOTEL_VI",28
"RVC_PR.RData","X1","VETU_PR",29
"RVC_PR.RData","X2","GUTT_PR",30
"RVC_PR.RData","X3","ANAL_PR",31
"RVC_PR.RData","X4","CHRY_PR",32
"RVC_PR.RData","X5","AURO_PR",33
"RVC_PR.RData","X6","VIRI_PR",34
"RVC_STSJ.RData","X1","VETU_STT",35
"RVC_STSJ.RData","X2","GUTT_STT",36
"RVC_STSJ.RData","X3","ANAL_STT",37
"RVC_STSJ.RData","X4","CHRY_STT",38
"RVC_STSJ.RData","X5","AURO_STT",39
"RVC_STSJ.RData","X6","VIRI_STT",40
"RVC_STX.RData","X1","VETU_STX",41
"RVC_STX.RData","X2","GUTT_STX",42
"RVC_STX.RData","X3","ANAL_STX",43
"RVC_STX.RData","X4","CHRY_STX",44
"RVC_STX.RData","X5","AURO_STX",45
"RVC_STX.RData","X6","VIRI_STX",46
"fish_density.RData","X1","DEN_PR",47
"fish_density.RData","X2","DEN_VI",48
"fish_density.RData","X3","SLPSIZ_VI",49
"PD_ratio.RData","X1","PDR_PR",50
"PD_ratio.RData","X2","PDR_STT",51
"PD_ratio.RData","X3","PDR_STX",52
"mean_Lmax.RData","X1","LMAX_PR",53
"mean_Lmax.RData","X2","LMAX_STT",54
"mean_Lmax.RData","X3","LMAX_STX",55
"PR_Lmax_classes.RData","Lmax1","LMAX1_PR",56
"PR_Lmax_classes.RData","Lmax2","LMAX2_PR",57
"PR_Lmax_classes.RData","Lmax3","LMAX3_PR",59
"PR_Lmax_classes.RData","Lmax4","LMAX4_PR",60
"STT_Lmax_classes.RData","Lmax1","LMAX1_STT",61
"STT_Lmax_classes.RData","Lmax2","LMAX2_STT",62
"STT_Lmax_classes.RData","Lmax3","LMAX3_STT",64
"STT_Lmax_classes.RData","Lmax4","LMAX4_STT",65
"STX_Lmax_classes.RData","Lmax1","LMAX1_STX",66
"STX_Lmax_classes.RData","Lmax2","LMAX2_STX",67
"STX_Lmax_classes.RData","Lmax3","LMAX3_STX",69
"STX_Lmax_classes.RData","Lmax4","LMAX4_STX",70
"total_landings.RData","X1","LOB_PR",71
"total_landings.RData","X2","LOB_STT",72
"total_landings.RData","X3","LOB_STX",73
"total_landings.RData","X4","CONC_PR",74
"total_landings.RData","X5","CONC_STT",75
"total_landings.RData","X6","CONC_STX",76
"total_landings.RData","X7","OTHR_PR",77
"total_landings.RData","X8","OTHR_STT",78
"total_landings.RData","X9","OTHR_STX",79
"prop_diving_trips.RData","PR","DIV_PR",80
"prop_diving_trips.RData","STT","DIV_STT",81
"prop_diving_trips.RData","STX","DIV_STX",82
"GDP.RData","X1","GDP_PR",83
"GDP.RData","X2","GDP_VI",84
"unemployment.RData","X1","UNEM_PR",85
"unemployment.RData","X2","UNEM_VI",86
"oceanNAICS.RData","GDP.PR","O_GDP_PR",87
"oceanNAICS.RData","GDP.USVI","O_GDP_VI",88
"oceanNAICS.RData","est.PR","ECON_PR",89
"oceanNAICS.RData","est.USVI","ECON_VI",90
"oceanNAICS.RData","emp.PR","EMPL_PR",91
"oceanNAICS.RData","emp.USVI","EMPL_VI",92
"oceanNAICS.RData","wag.PR","WAGE_PR",93
"oceanNAICS.RData","wag.USVI","WAGE_VI",94
"gini_revenue.RData","gini_rev_pr","GINI_PR",95
"gini_revenue.RData","gini_rev_stt","GINI_STT",96
"gini_revenue.RData","gini_rev_stx","GINI_STX",97
"total_rec_catch.RData","Puerto.Rico..USA.","REC_PR",98
"total_rec_catch.RData","US.Virgin.Isl.","REC_VI",99
"prop_trips_bycatch.RData","PR","BYCAT_PR",100
"prop_trips_bycatch.RData","STT","BYCAT_STT",101
"prop_trips_bycatch.RData","STX","BYCAT_STX",102
"FRsection.RData","dat.amendments","MGMT",103
"tier3.RData","PR","ASSES_PR",104
"tier3.RData","USVI","ASSES_VI",105
"outreach.RData","X1","EDUC_PR",106
"outreach.RData","X2","EDUC_VI",107
"enforcement.RData","V1","ENFORCE",108
"coral_spprichness_cover.RData","X1","CRLRCH_PR",109
"coral_spprichness_cover.RData","X2","CRLCVR_PR",110
"coral_spprichness_cover.RData","X3","CRLRCH_VI",111
"coral_spprichness_cover.RData","X4","CRLCVR_VI",112
